category, name
1, Convolution Neural Nets
1, Recurrent Neural Nets
1, All Neural Nets
1, Trees - Logistic Regression - SVMs
1, Reinforcement Learning
1, Rest of ML
2, Web Scraping
2, Data Mining
2, Natural Language Processing
2, Web Development
2, System Programming
2, Network Programming
2, Information Security
3, Neuroscience and CS
3, Clinical Psychology and CS
3, Cognitive Psychology and CS
3, Natural Learning and Machine Learning
4, Casual Discussions
4, Miscellaneous
4, Arts and Literature
4, Meta-Forum
